,JVM Crop Plan,,
,2022,,
Crop,Boundary,Acres,Custom
Canola,13 Pack,"2,025",
Durum,Betty Home,"1,320",
Durum,Bietz,315,
Durum,Bolls,660,
Canola,Drivers,160,160
Canola,Elgins,850,
Lentils,Eliford East,965,
Durum,Eliford Fairgrounds,310,
Lentils,Eliford West,625,
Canola,Foss North,470,
Lentils,Foss Pasture,405,
Lentils,Foss South,871,
Lentils,Foss West,305,
Durum,Galls,265,
Durum,Griffin Half,250,
Lentils,Horner Home,725,
Lentils,Ivans,"1,135",
Lentils,Kathryn,780,
Canola,Louis,460,
Durum,Orm 6,847,
Durum,Phillips,"1,245",
Durum,Pollock,"1,615",
Canola,"Section 15 Shellingtons1,380",,
Durum,Section 3,660,
Canola,Stewart 8 Pack,"1,255",
Durum,Tapps,315,
Lentils,Tordiffs,595,74
Canola,Vince Sylvia,155,
Canola,Warren Creelman,420,
Lentils,Warren Kent,333,333
Canola,Warren Yard,501,155
Durum,Willems,880,
Canola,Winston Sylvia,290,
Durum,Zylas,625,
,,24012,722
,,,JVM van Staveren Farms,,,,,,,
,,,Seeded Acreage Detail for SCIC,,,,,,,
,,,,,,2022,,,,
Land Name,RM,Q,S,T,R,M,Acres,Seeding Date,Crop,Variety
13 Pack,96,NE,22,10,10,2,157,25/05/2022,Canola,L340PC
13 Pack,96,NW,22,10,10,2,151,25/05/2022,Canola,L340PC
13 Pack,96,NE,23,10,10,2,157,25/05/2022,Canola,L340PC
13 Pack,96,NW,23,10,10,2,156,25/05/2022,Canola,L340PC
13 Pack,96,SE,23,10,10,2,156,25/05/2022,Canola,L340PC
13 Pack,96,SW,23,10,10,2,156,25/05/2022,Canola,L340PC
13 Pack,96,SE,24,10,10,2,151,25/05/2022,Canola,L340PC
13 Pack,96,SW,24,10,10,2,156,25/05/2022,Canola,L340PC
13 Pack,96,NE,14,10,10,2,157,25/05/2022,Canola,L340PC
13 Pack,96,NW,14,10,10,2,157,25/05/2022,Canola,L340PC
13 Pack,96,SE,14,10,10,2,157,25/05/2022,Canola,L340PC
13 Pack,96,SW,14,10,10,2,157,25/05/2022,Canola,L340PC
13 Pack,96,NE,15,10,10,2,157,25/05/2022,Canola,L340PC
Beitz,66,NW,21,9,10,2,160,11-05-2022,Durum,Alloy
Beitz,66,SW,21,9,10,2,155,11-05-2022,Durum,Alloy
Betty Home,66,SE,30,8,10,2,134,11-05-2022,Durum,Alloy
Betty Home,66,NW,33,8,10,2,150,11-05-2022,Durum,Alloy
Betty Home,66,SW,33,8,10,2,140,11-05-2022,Durum,Alloy
Betty Home,66,SE,5,9,10,2,160,11-05-2022,Durum,Alloy
Betty Home,66,SW,5,9,10,2,160,11-05-2022,Durum,Alloy
Betty Home,66,NE,32,8,10,2,160,11-05-2022,Durum,Alloy
Betty Home,66,NW,32,8,10,2,160,11-05-2022,Durum,Alloy
Betty Home,66,SE,32,8,10,2,106,11-05-2022,Durum,Alloy
Betty Home,66,SW,32,8,10,2,150,11-05-2022,Durum,Alloy
Bolls,96,NE,25,10,12,2,155,12-05-2022,Durum,Alloy
Bolls,96,NW,25,10,12,2,155,12-05-2022,Durum,Alloy
Bolls,96,SE,25,10,12,2,155,12-05-2022,Durum,Alloy
Bolls,96,SW,25,10,12,2,155,12-05-2022,Durum,Alloy
Elgins,95,NE,31,10,9,2,158,26/05/2022,Canola,L340PC
Elgins,95,NW,31,10,9,2,153,26/05/2022,Canola,L340PC
Elgins,95,SE,31,10,9,2,131,26/05/2022,Canola,L340PC
Elgins,96,NE,35,10,10,2,122,26/05/2022,Canola,L340PC
Elgins,96,NE,36,10,10,2,133,26/05/2022,Canola,L340PC
Elgins,96,NW,36,10,10,2,153,26/05/2022,Canola,L340PC
Eliford East,95,NW,6,11,9,2,160,22/05/2022,Lentils,Proclaim
Eliford East,95,NW,7,11,9,2,160,22/05/2022,Lentils,Proclaim
Eliford East,95,SE,7,11,9,2,160,22/05/2022,Lentils,Proclaim
Eliford East,95,SW,7,11,9,2,160,22/05/2022,Lentils,Proclaim
Eliford East,95,NE,6,11,9,2,160,22/05/2022,Lentils,Proclaim
Eliford East,95,SW,6,11,9,2,160,22/05/2022,Lentils,Proclaim
Eliford Fairgrounds,96,NE,9,10,10,2,155,11-05-2022,Durum,Alloy
Eliford Fairgrounds,96,NW,9,10,10,2,155,11-05-2022,Durum,Alloy
Eliford West,96,NE,1,11,10,2,148,19/05/2022,Lentils,Proclaim
Eliford West,96,SE,1,11,10,2,159,19/05/2022,Lentils,Proclaim
Eliford West,96,SE,12,11,10,2,159,19/05/2022,Lentils,Proclaim
Eliford West,96,SW,12,11,10,2,159,19/05/2022,Lentils,Proclaim
Foss North,95,NE,27,11,9,2,121,03/06/2022,Canola,CS4000LL
Foss North,95,NW,27,11,9,2,59,03/06/2022,Canola,CS4000LL
Foss North,95,SE,34,11,9,2,129,03/06/2022,Canola,CS4000LL
Foss North,95,SW,34,11,9,2,144,03/06/2022,Canola,CS4000LL
Foss Pasture,95,NE,21,11,9,2,103,02/06/2022,Lentils,Proclaim
Foss Pasture,95,SE,21,11,9,2,118,02/06/2022,Lentils,Proclaim
Foss Pasture,95,SW,28,11,9,2,148,02/06/2022,Lentils,Proclaim
Foss Pasture,95,NE,29,11,9,2,13,02/06/2022,Lentils,Proclaim
Foss Pasture,95,SE,29,11,9,2,23,02/06/2022,Lentils,Proclaim
Foss South,95,NW,15,11,9,2,140,31/05/2022,Lentils,Proclaim
Foss South,95,NW,22,11,9,2,146,31/05/2022,Lentils,Proclaim
Foss South,95,SE,22,11,9,2,154,31/05/2022,Lentils,Proclaim
Foss South,95,SW,22,11,9,2,110,31/05/2022,Lentils,Proclaim
Foss South,95,SE,27,11,9,2,142,31/05/2022,Lentils,Proclaim
Foss South,95,SW,27,11,9,2,123,31/05/2022,Lentils,Proclaim
Foss West,95,NE,18,11,9,2,150,26/05/2022,Lentils,Proclaim
Foss West,95,NW,18,11,9,2,135,26/05/2022,Lentils,Proclaim
Galls,96,NE,19,10,10,2,140,16/05/2022,Durum,Alloy
Galls,96,NW,19,10,10,2,125,16/05/2022,Durum,Alloy
Griffin Half,66,SE,33,8,11,2,125,11-05-2022,Durum,Alloy
Griffin Half,66,SW,33,8,11,2,125,11-05-2022,Durum,Alloy
Horner Home,96,NE,28,10,10,2,120,24/05/2022,Lentils,Proclaim
Horner Home,96,NE,33,10,10,2,145,24/05/2022,Lentils,Proclaim
Horner Home,96,NW,33,10,10,2,154,24/05/2022,Lentils,Proclaim
Horner Home,96,SE,33,10,10,2,153,24/05/2022,Lentils,Proclaim
Horner Home,96,SW,33,10,10,2,153,24/05/2022,Lentils,Proclaim
Ivans,96,NE,35,11,11,2,160,18/05/2022,Lentils,Proclaim
Ivans,96,NW,35,11,11,2,160,18/05/2022,Lentils,Proclaim
Ivans,96,SE,35,11,11,2,160,18/05/2022,Lentils,Proclaim
Ivans,96,SW,35,11,11,2,160,18/05/2022,Lentils,Proclaim
